student_id,sleep_hours,sleep_quality
136,5.3,average
137,7.9,poor
138,6.2,poor
139,4.9,good
140,7.3,good
141,6.2,good
142,9.2,good
143,9.6,poor
144,7.4,average
145,5.8,average
146,7.2,poor
147,9.3,good
148,8,average
149,4.5,average
150,4.4,good
151,4.9,poor
152,7.4,good
153,5,average
154,5.5,average
155,7.2,average
156,7.4,average
157,8.9,average
158,6.6,average
159,8.7,poor
160,4.5,average
161,7.3,poor
162,6.6,average
163,9.5,good
164,8.3,good
165,8.1,poor
166,9.4,average
167,5.5,poor
168,8.5,good
169,9.2,poor
170,9.9,poor
171,6.6,good
172,8,average
173,5.1,poor
174,7.4,poor
175,6.7,average
176,4.8,good
177,9.5,poor
178,9.4,good
179,9.8,poor
180,5.1,good
181,4.1,average
182,8.5,good
183,5.6,average
184,7.8,average
185,7.2,average
186,7.5,good
187,7,poor
188,4.1,average
189,5.6,average
190,9.5,poor
191,6.5,poor
192,5.9,good
193,4.1,poor
194,6.2,poor
195,5.3,good
196,7.1,poor
197,8.2,average
198,4.4,average
199,8.3,good
200,4.1,poor
201,8.1,poor
202,4.9,average
203,6.1,poor
204,4.7,good
205,7.3,average
206,8.8,average
207,7.4,average
208,9.4,poor
209,4.2,good
210,6.1,average
211,6.3,average
212,5.9,average
213,6.5,average
214,7.4,good
215,5.2,poor
216,5.2,poor
217,4.9,good
218,5.8,average
219,7.9,average
220,7.1,average
221,5.7,good
222,9.8,average
223,7.8,average
224,5.6,good
225,4.3,average
226,5.4,poor
227,6.9,poor
228,5.2,poor
229,5.9,poor
230,9.9,average
231,9.6,good
232,7.1,good
233,9,poor
234,5.7,average
235,8.5,good
236,9.4,average
237,9,average
238,7.8,poor
239,9,poor
240,4.1,good
241,6.3,poor
242,8.6,average
243,6.4,poor
244,5.1,good
245,8.6,good
246,7.7,average
247,7.1,average
248,6,good
249,4.6,average
250,9.2,average
251,5.2,good
252,7.8,poor
253,5.8,poor
254,5.4,average
255,6.7,average
256,8.4,average
257,5.4,average
258,4.6,good
259,6.9,average
260,7.3,good
261,7.9,average
262,6.7,good
263,6.3,poor
264,4.9,poor
265,5.8,poor
266,5.5,good
267,4.8,good
268,9.7,average
269,5.1,good
270,7.4,poor
271,6.4,average
272,7.3,average
273,7.5,poor
274,7.1,poor
275,6,average
276,6,good
277,5,good
278,6.5,good
279,6.2,good
280,9.9,good
281,4.6,average
282,7.5,average
283,9.9,good
284,9.6,average
285,8.2,average
286,6.4,good
287,8.4,average
288,9.6,poor
289,7.3,poor
290,6.1,poor
291,4.1,average
292,7,good
293,4.6,good
294,5.9,poor
295,7.7,poor
296,5.7,average
297,5.3,good
298,7.5,poor
299,4.4,poor
300,9.6,average
301,9.9,poor
302,9.9,average
303,4.1,good
304,4.1,good
305,4.6,good
306,9.5,average
307,9.2,good
308,4.1,average
309,4.4,good
310,5.8,poor
311,5.7,good
312,4.1,average
313,4.5,average
314,8.1,average
315,7.5,good
316,6.1,average
317,5.5,average
318,6.8,good
319,7.8,good
320,5.8,good
321,4.8,average
322,9.5,average
323,4.7,average
324,9,good
325,7.4,good
326,6.8,good
327,5.5,average
328,8.2,good
329,6.9,average
330,4.6,good
331,8.9,average
332,8.1,good
333,8.6,average
334,5.4,poor
335,5.9,average
336,6,poor
337,5,average
338,9.3,good
339,6.2,good
340,5.8,average
341,6.9,good
342,9.7,poor
343,6.2,good
344,9.6,average
345,9.6,good
346,5.9,poor
347,7.6,poor
348,7.9,good
349,5.7,average
350,9.9,poor
351,7.6,good
352,8.3,poor
353,8.1,good
354,5.3,poor
355,7.6,poor
356,9.2,good
357,8.6,average
358,6.7,poor
359,7.3,good
360,7.8,poor
361,6.2,average
362,6,poor
363,6.7,poor
364,9.9,good
365,8.2,average
366,4.8,average
367,4.7,average
368,4.8,good
369,9.3,poor
370,4.9,poor
371,6.7,average
372,7.9,poor
373,8.9,average
374,5.9,poor
375,5.4,poor
376,4.6,poor
377,4.5,poor
378,4.9,good
379,8.1,poor
380,4.4,average
381,7.9,poor
382,9.2,average
383,7.1,average
384,9.6,poor
385,6.8,average
386,6.8,poor
387,5,good
388,7.8,average
389,8.6,good
390,5.2,poor
391,7.7,good
392,6.5,good
393,9.9,poor
394,4.4,average
395,6.4,good
396,6.5,poor
397,6.8,average
398,5.8,poor
399,5.7,poor
400,6.1,poor
401,5,poor
402,4.8,poor
403,9.4,average
404,7,poor
405,8.7,poor
406,6.1,average
407,9.6,good
408,8.9,average
409,9.8,average
410,8.6,poor
411,8.3,average
412,7.6,average
413,8.8,average
414,5.9,good
415,4.4,good
416,6.2,average
417,8.6,average
418,4.6,average
419,9.4,average
420,7.2,poor
421,8.8,average
422,7.1,average
423,9,average
424,9.9,good
425,8.9,average
426,9.3,good
427,8.9,average
428,6.7,average
429,6.1,poor
430,7.4,average
431,5.2,good
432,6.6,good
433,4.8,average
434,5.8,poor
435,8.2,good
436,4.4,poor
437,9.5,good
438,4.3,poor
439,5.5,good
440,9.7,good
441,9.2,average
442,4.6,good
443,9.2,average
444,9.1,good
445,6.9,poor
446,9.2,average
447,6.9,average
448,4.9,good
449,5.4,good
450,6,good
451,6,good
452,8.4,good
453,5.3,poor
454,8.5,poor
455,7.3,good
456,7.6,poor
457,8.3,good
458,8.7,average
459,6.3,average
460,8.1,poor
461,4.3,average
462,8.6,poor
463,8.6,good
464,9.8,average
465,5.1,poor
466,4.8,good
467,9.5,poor
468,6,poor
469,7.6,good
470,9.7,good
471,8.1,good
472,5.6,good
473,4.8,poor
474,6.1,average
475,8,poor
476,9.7,average
477,4.4,poor
478,6.6,good
479,8.8,average
480,9.2,poor
481,9.1,poor
482,8.7,poor
483,5.1,poor
484,6.1,poor
485,7.5,average
486,4.8,poor
487,6.4,good
488,5.3,poor
489,5.8,average
490,8.8,good
491,8.1,good
492,4.1,poor
493,9.6,good
494,7.2,average
495,7.9,good
496,7.7,average
497,4.4,good
498,9.3,average
499,8.1,poor
500,5.5,good
501,4.5,good
502,9.9,poor
503,9.6,poor
504,8.3,good
505,7.2,average
506,7.6,poor
507,7,good
508,9.2,good
509,8.4,good
510,4.4,average
511,6,good
512,8.3,poor
513,9.9,poor
514,8.6,good
515,7,average
516,8.6,average
517,8.3,average
518,8.3,poor
519,9.7,poor
520,7.7,good
521,7.1,good
522,8.5,poor
523,9.3,average
524,7.8,good
525,4.1,good
526,4.4,good
527,9,good
528,7,poor
529,9.9,poor
530,5.3,average
531,8.2,poor
532,6.5,good
533,4.1,poor
534,6.2,good
535,5.2,poor
536,7.3,good
537,9.2,poor
538,9.9,poor
539,7.3,poor
540,9.6,good
541,9.2,good
542,5.2,poor
543,4.2,poor
544,9.2,good
545,7.4,good
546,8.7,good
547,7.9,good
548,5.4,average
549,6.7,good
550,6.1,good
551,8.2,average
552,4.3,average
553,6.7,average
554,5.5,good
555,8.2,poor
556,6.8,average
557,8.2,good
558,8.8,poor
559,8.6,average
560,9.5,average
561,4.6,poor
562,4.5,poor
563,5.4,average
564,6.7,poor
565,7,average
566,9.4,good
567,9.9,average
568,6,good
569,9.7,average
570,5.5,average
571,5.1,poor
572,8.1,average
573,6.3,poor
574,8.8,good
575,9.4,poor
576,7.4,poor
577,9.2,average
578,5.9,good
579,4.4,good
580,7.3,average
581,9.8,average
582,7.7,average
583,8.4,good
584,9.5,good
585,8.7,poor
586,7.6,good
587,8.9,poor
588,6,good
589,7.5,average
590,9.3,good
591,6.5,average
592,8.9,poor
593,8.4,poor
594,6,poor
595,7.9,good
596,6.6,good
597,6.1,good
598,8.2,average
599,4.9,average
600,8,good
601,4.9,poor
602,6.9,good
603,8.6,average
604,8,poor
605,6.3,good
606,6.7,poor
607,5.5,poor
608,6.5,good
609,9.4,poor
610,9.1,good
611,4.6,poor
612,5.1,good
613,4.2,poor
614,6.5,poor
615,9,poor
616,7.5,average
617,5.4,good
618,6.4,poor
619,4.6,poor
620,6.3,average
621,6.2,average
622,5.6,average
623,5.3,poor
624,5.3,poor
625,4.9,average
626,4.8,good
627,9.9,good
628,7.9,poor
629,7.8,poor
630,6.4,good
631,5,poor
632,6.9,good
633,6.3,good
634,5.5,good
635,8.6,poor
636,5.4,good
637,8.3,poor
638,4.8,good
639,7,good
640,8.1,average
641,8.1,average
642,9.9,average
643,6.7,good
644,6.3,good
645,8.5,poor
646,4.4,poor
647,7,average
648,9.2,average
649,5.6,average
650,7,poor
651,5,poor
652,9.7,poor
653,9.1,poor
654,8.6,poor
655,4.9,good
656,7,good
657,5.3,average
658,9.5,good
659,9.6,good
660,8.4,average
661,7.9,poor
662,5.5,average
663,4.4,average
664,9,poor
665,5.4,poor
666,5.6,good
667,5.5,poor
668,6.1,poor
669,5.9,good
670,5.5,poor
671,4.8,good
672,8.7,average
673,9.7,average
674,4.9,poor
675,7.5,good
676,6.6,average
677,6.7,average
678,8.5,poor
679,8.5,good
680,4.4,good
681,9.4,good
682,4.1,poor
683,6.6,poor
684,4.6,average
685,8,poor
686,6.5,good
687,4.8,average
688,6,good
689,5.6,good
690,7.9,poor
691,8,average
692,7.3,poor
693,8.7,average
694,4.1,good
695,7.9,average
696,7.9,poor
697,6.8,poor
698,9,good
699,4.4,poor
700,8.6,poor
701,5.9,average
702,4.2,poor
703,4.1,average
704,5.5,good
705,7.5,average
706,7.7,good
707,4.7,poor
708,5.7,average
709,4.6,poor
710,9,good
711,9.1,poor
712,5.2,average
713,9.4,poor
714,4.5,poor
715,7.2,good
716,8.3,good
717,6.4,good
718,4.6,good
719,8.6,poor
720,8.7,good
721,6,average
722,4.1,poor
723,9.5,good
724,4.5,poor
725,5.6,poor
726,6.6,poor
727,6.7,poor
728,7.1,average
729,5.3,average
730,6.3,good
731,9.6,good
732,9.3,good
733,4.5,poor
734,8.7,good
735,7.3,good
736,4.2,good
737,8.7,poor
738,4.9,good
739,5.5,good
740,4.5,average
741,8.6,average
742,8.2,poor
743,9,good
744,7,poor
745,6.6,good
746,7.3,average
747,4.1,poor
748,8.7,good
749,9,poor
750,4.4,average
751,9.5,good
752,6.5,average
753,5.4,average
754,4.2,average
755,9.9,average
756,8,good
757,7.7,average
758,4.9,average
759,8.8,good
760,7.5,average
761,6.1,poor
762,7.8,average
763,4.8,poor
764,6.5,poor
765,4.9,good
766,4.7,poor
767,9.9,good
768,5.7,average
769,4.1,good
770,5.3,good
771,6.2,poor
772,4.1,average
773,7.8,poor
774,7.1,poor
775,6,good
776,9.3,average
777,5.5,average
778,4.5,poor
779,4.6,average
780,8.8,good
781,6,good
782,9.4,average
783,4.5,good
784,7.2,good
785,5.7,average
786,9.6,good
787,6.9,average
788,5.6,average
789,4.2,poor
790,6.9,poor
791,4.9,average
792,4.4,poor
793,4.9,good
794,7.1,good
795,5.5,good
796,6.5,poor
797,7.1,average
798,4.3,good
799,7.3,good
800,6.7,good
801,7.3,average
802,8.2,average
803,8.3,good
804,8.2,poor
805,4.5,good
806,9.4,good
807,8.9,poor
808,9.3,poor
809,5,good
810,7.5,poor
811,9.6,average
812,9.6,average
813,6.2,average
814,9.1,poor
815,6.8,poor
816,4.5,average
817,9.8,average
818,5.9,average
819,5.7,good
820,9.4,good
821,8.5,poor
822,6.2,good
823,8.8,average
824,4.1,average
825,7.5,average
826,5.6,poor
827,7.3,average
828,6,poor
829,8.3,good
830,7.8,good
831,8.3,good
832,8.3,average
833,8.5,good
834,9.9,poor
835,6.7,good
836,8.5,average
837,5.3,poor
838,9.8,poor
839,9.1,average
840,4.6,poor
841,8.8,average
842,7.5,poor
843,6.4,poor
844,4.7,poor
845,7.7,good
846,7.1,average
847,9,poor
848,6.4,good
849,7.1,good
850,6.6,average
851,4.5,poor
852,6.8,good
853,9.7,average
854,4.1,average
855,8.4,average
856,6.5,average
857,5.1,good
858,8.1,good
859,6.2,good
860,9.9,poor
861,7.1,good
862,6.5,good
863,9.8,poor
864,5.7,poor
865,9.8,poor
866,8.6,good
867,7.3,average
868,6.2,average
869,4.4,average
870,9.7,good
871,7.8,average
872,7.2,good
873,7.9,average
874,9.3,good
875,5.8,average
876,7.1,poor
877,8.9,poor
878,9.3,good
879,8.3,average
880,7.5,poor
881,6.3,poor
882,5.5,average
883,7.9,good
884,8.3,poor
885,6.9,average
886,9.7,average
887,4.9,average
888,7.1,average
889,8,good
890,9.7,good
891,5.6,average
892,5.5,poor
893,6.9,good
894,8.2,good
895,5.9,poor
896,7.1,poor
897,4.8,average
898,9.6,average
899,5.2,good
900,5.5,good
901,6.5,poor
902,4.8,average
903,9.7,average
904,7.9,poor
905,8,average
906,5.2,average
907,6,good
908,5.2,poor
909,4.5,good
910,6.6,poor
911,6.8,good
912,8.1,poor
913,6.7,average
914,9.9,good
915,6.9,average
916,6.7,poor
917,5.6,average
918,7.7,good
919,8.9,good
920,9.8,average
921,4.9,poor
922,4.2,good
923,9.9,average
924,6.5,average
925,8,good
926,9.7,average
927,4.1,good
928,5,good
929,8.8,average
930,8.1,average
931,6.7,average
932,9.8,good
933,8,average
934,4.2,good
935,4.6,average
936,9.3,good
937,9.8,poor
938,5.5,average
939,5.3,good
940,4.3,poor
941,4.7,poor
942,5.5,good
943,9.5,good
944,4.8,average
945,4.5,good
946,9.9,poor
947,4.7,poor
948,5,average
949,7.2,average
950,5.6,average
951,6.5,good
952,6.5,average
953,7.4,good
954,4.1,poor
955,8.9,poor
956,6.1,good
957,9.9,poor
958,9.1,poor
959,4.1,poor
960,9,good
961,5.2,average
962,4.1,average
963,4.3,average
964,9.2,poor
965,6.1,poor
966,6,good
967,8.8,good
968,9.9,average
969,9.4,average
970,9.8,average
971,4.5,poor
972,6.5,poor
973,5.5,average
974,7.7,average
975,9.8,average
976,9.8,good
977,8,average
978,8.7,good
979,9.2,good
980,6.6,average
981,7.3,good
982,9.3,good
983,6.4,average
984,6.3,average
985,9,average
986,9.2,average
987,8.6,poor
988,6.8,average
989,6.5,poor
990,4.7,average
991,5.9,average
992,5.4,good
993,5.1,good
994,8.5,poor
995,8,poor
996,4.4,poor
997,5,average
998,6.2,poor
999,6.6,poor
1000,9.1,good
1001,4.2,good
1002,5.3,poor
1003,9.3,good
1004,6.2,good
1005,5.3,poor
1006,7.5,good
1007,9.8,average
1008,9.6,good
1009,7.2,average
1010,4.6,average
1011,4.9,good
1012,5.9,average
1013,9.2,average
1014,8.8,poor
1015,9.9,poor
1016,7,average
1017,7.5,poor
1018,5.9,average
1019,7.1,poor
1020,8.3,poor
1021,4.2,good
1022,9.3,average
1023,7.7,good
1024,5.9,average
1025,5.9,poor
1026,9.9,good
1027,5.8,average
1028,7.4,good
1029,6.2,poor
1030,7.3,average
1031,6.5,poor
1032,6.9,poor
1033,4.5,average
1034,4.4,poor
1035,9.1,average
1036,9.1,good
1037,9.9,average
1038,7.7,poor
1039,5.8,good
1040,9.3,poor
1041,9.7,good
1042,5.8,average
1043,6.5,poor
1044,7,good
1045,6.6,poor
1046,7.5,good
1047,9.4,good
1048,9.5,poor
1049,4.6,poor
1050,8.3,good
1051,4.8,average
1052,6,average
1053,6.4,good
1054,9.5,average
1055,6.2,average
1056,7.6,good
1057,7.8,average
1058,6.2,average
1059,8.2,poor
1060,7.2,good
1061,5.9,average
1062,6.7,poor
1063,5.2,poor
1064,4.2,poor
1065,6.2,poor
1066,9.5,poor
1067,6.3,good
1068,9.3,average
1069,4.5,good
1070,6.8,good
1071,5.8,average
1072,6.5,good
1073,8.2,poor
1074,5.9,poor
1075,4.8,poor
1076,4.2,average
1077,5.8,good
1078,8.3,good
1079,6.8,average
1080,9.9,good
1081,5.4,average
1082,9.5,average
1083,8.9,average
1084,8.7,poor
1085,8.2,good
1086,4.1,average
1087,8.6,poor
1088,5.2,poor
1089,5.8,average
1090,5.3,average
1091,6.6,good
1092,5.3,poor
1093,9.1,average
1094,8.1,average
1095,7.9,good
1096,8.4,average
1097,5.9,good
1098,7.3,poor
1099,7.9,poor
1100,7.4,poor
1101,7.5,average
1102,4.4,average
1103,6.7,poor
1104,7.5,poor
1105,4.7,poor
1106,5.1,poor
1107,7.4,average
1108,5,good
1109,7.1,poor
1110,5.3,poor
1111,5.1,poor
1112,8.8,poor
1113,8.9,average
1114,6,average
1115,5.9,good
1116,6.5,good
1117,5.2,good
1118,7.3,average
1119,9.8,good
1120,8.6,good
1121,5.7,good
1122,6.1,good
1123,5.2,good
1124,8.2,average
1125,6,good
1126,9.3,average
1127,8.3,poor
1128,6.2,good
1129,6.3,good
1130,4.8,good
1131,6.8,poor
1132,9.6,average
1133,7.8,average
1134,6.9,good
1135,6.4,poor
1136,7.7,average
1137,9.4,good
1138,6.4,average
1139,7.7,average
1140,9.9,average
1141,7.6,average
1142,8.2,good
1143,9.3,good
1144,6.7,average
1145,4.4,average
1146,6.6,average
1147,4.8,average
1148,9.3,poor
1149,8.8,poor
1150,8.6,good
1151,6.5,poor
1152,8.5,good
1153,7.5,average
1154,4.6,average
1155,4.9,poor
1156,9,average
1157,9.3,average
1158,7.9,good
1159,5.5,good
1160,9.4,poor
1161,9.3,good
1162,8.2,average
1163,8.6,poor
1164,4.7,average
1165,8.5,good
1166,9.3,poor
1167,8.1,average
1168,9.6,poor
1169,4.5,good
1170,4.9,good
1171,9.9,poor
1172,9.3,average
1173,5.6,good
1174,9.6,good
1175,4.3,poor
1176,6.7,average
1177,5.2,poor
1178,9.5,poor
1179,9.9,poor
1180,4.7,average
1181,9.3,average
1182,4.4,average
1183,9.6,average
1184,9.5,average
1185,8.8,poor
1186,4.2,average
1187,5.6,poor
1188,7.2,poor
1189,6.7,poor
1190,6.6,average
1191,8.1,good
1192,4.9,average
1193,7.8,average
1194,4.9,poor
1195,5.6,good
1196,7.5,poor
1197,8.1,poor
1198,5.4,average
1199,5.9,good
1200,8.6,average
1201,7.5,good
1202,5.9,average
1203,7.3,poor
1204,4.8,good
1205,6.5,average
1206,8.7,good
1207,9.3,good
1208,4.1,average
1209,8.2,good
1210,4.1,good
1211,8.5,average
1212,9.1,poor
1213,9.5,poor
1214,4.6,poor
1215,4.1,average
1216,6.2,poor
1217,5.5,poor
1218,6.5,good
1219,5,good
1220,8.6,good
1221,7.9,average
1222,6.4,poor
1223,8.2,poor
1224,6.1,average
1225,7.4,good
1226,6.7,average
1227,6,poor
1228,4.3,good
1229,5.9,good
1230,6.8,poor
1231,5.8,good
1232,9.8,average
1233,5.1,poor
1234,6.3,good
1235,8.1,average
1236,5.6,poor
1237,7,average
1238,8.3,poor
1239,9.8,average
1240,7.2,poor
1241,8.4,average
1242,8.8,good
1243,6.1,poor
1244,6.7,poor
1245,9.2,average
1246,7.8,poor
1247,4.1,good
1248,9.4,poor
1249,6.4,good
1250,8.3,good
1251,6.1,average
1252,7.2,average
1253,6.9,poor
1254,4.4,poor
1255,6.4,good
1256,5.5,good
1257,7.6,poor
1258,9.8,poor
1259,8.7,average
1260,9.5,poor
1261,7,good
1262,4.3,average
1263,5.5,poor
1264,6.9,good
1265,6.2,poor
1266,6.8,good
1267,9.2,good
1268,4.1,good
1269,5.3,good
1270,9.8,average
1271,7.6,average
1272,6.2,average
1273,5.2,poor
1274,6.6,good
1275,8.9,average
1276,9.9,good
1277,5.6,poor
1278,8.8,average
1279,4.2,good
1280,8.5,good
1281,9.1,good
1282,5.8,good
1283,8.2,poor
1284,9.8,good
1285,8,average
1286,7.6,average
1287,4.5,good
1288,5.3,poor
1289,5.6,poor
1290,5,poor
1291,4.6,good
1292,9.3,average
1293,5.2,good
1294,9.2,poor
1295,9.6,good
1296,6.5,good
1297,5.7,average
1298,8.8,good
1299,9.9,average
1300,4.9,poor
1301,6,average
1302,8.6,good
1303,4.1,good
1304,6.3,poor
1305,4.7,poor
1306,8.9,average
1307,5.6,good
1308,7.7,poor
1309,7.4,good
1310,9.6,poor
1311,4.5,average
1312,6.9,good
1313,9.4,poor
1314,7.2,poor
1315,9.8,good
1316,5.4,good
1317,6.9,good
1318,8.8,poor
1319,6.7,good
1320,5.5,poor
1321,4.7,good
1322,9.1,good
1323,4.9,good
1324,4.8,poor
1325,6.3,poor
1326,9.6,poor
1327,7.5,poor
1328,6.2,poor
1329,9.5,poor
1330,5.7,good
1331,4.2,average
1332,6.1,average
1333,7.8,good
1334,9.4,average
1335,7.7,average
1336,7.5,average
1337,8.3,average
1338,5.3,poor
1339,9.3,good
1340,7.5,poor
1341,7.2,poor
1342,7.8,poor
1343,4.6,average
1344,7.8,poor
1345,4.7,average
1346,7,poor
1347,8.9,good
1348,4.9,average
1349,6.4,good
1350,7.8,average
1351,7.9,average
1352,5,average
1353,6,average
1354,4.1,good
1355,8.8,good
1356,8.9,poor
1357,7.2,poor
1358,9.9,poor
1359,4.7,poor
1360,7.8,good
1361,5.2,average
1362,6.1,poor
1363,4.3,good
1364,4.8,poor
1365,6.2,good
1366,7.4,good
1367,6.9,poor
1368,9.9,good
1369,8.8,poor
1370,4.3,poor
1371,4.2,good
1372,9.4,poor
1373,7.2,good
1374,9.9,average
1375,4.2,good
1376,9.5,average
1377,8,poor
1378,6.9,good
1379,5.6,good
1380,7.1,poor
1381,8.2,poor
1382,5.3,good
1383,9,poor
1384,9.1,poor
1385,7.8,good
1386,7.1,poor
1387,9.4,average
1388,6.2,average
1389,7.7,poor
1390,6.7,average
1391,5.9,good
1392,9.6,average
1393,5.5,poor
1394,7.8,average
1395,5.7,good
1396,7.6,poor
1397,8.6,good
1398,6.7,good
1399,6.6,poor
1400,7,poor
1401,7.2,poor
1402,7.1,average
1403,5,average
1404,7.6,average
1405,8.6,average
1406,8.4,poor
1407,8,poor
1408,6.4,good
1409,7.2,average
1410,8.7,poor
1411,4.8,good
1412,6.9,poor
1413,6.8,good
1414,7.8,average
1415,8.3,poor
1416,5.3,average
1417,5.1,average
1418,4.9,good
1419,7.8,average
1420,7.6,average
1421,5.1,poor
1422,7.6,poor
1423,8.7,good
1424,4.9,average
1425,5.2,good
1426,5.3,average
1427,8,good
1428,9.4,good
1429,4.3,poor
1430,9.2,average
1431,6.5,average
1432,9,poor
1433,9,good
1434,7.9,good
1435,5.5,poor
1436,4.2,good
1437,5,average
1438,5.9,average
1439,8.6,average
1440,8.3,average
1441,7.1,poor
1442,4.2,good
1443,4.7,average
1444,9.6,poor
1445,8.3,average
1446,9.5,good
1447,7.2,average
1448,4.3,poor
1449,8.7,poor
1450,9.9,poor
1451,7.1,poor
1452,4.5,poor
1453,7.8,good
1454,8.5,poor
1455,9,average
1456,8.5,poor
1457,9.9,average
1458,6.3,average
1459,8.4,average
1460,8.3,good
1461,6.3,good
1462,9.4,good
1463,5.4,poor
1464,8.1,poor
1465,6.4,poor
1466,5.7,average
1467,4.7,poor
1468,4.1,poor
1469,5.3,average
1470,8.3,average
1471,6.8,poor
1472,8.6,good
1473,9.8,average
1474,4.9,average
1475,6.1,good
1476,5.2,average
1477,7.5,poor
1478,8.6,good
1479,5.3,poor
1480,8.8,average
1481,4.2,average
1482,7.9,average
1483,9.1,average
1484,9.5,poor
1485,6.1,poor
1486,4.6,good
1487,7,poor
1488,6.8,good
1489,7.8,average
1490,7.5,good
1491,5.2,poor
1492,4.3,average
1493,9.8,average
1494,6.5,poor
1495,7.4,good
1496,4.2,good
1497,5,good
1498,7,poor
1499,6.7,poor
1500,5.5,poor
1501,8.8,good
1502,9.4,average
1503,5.7,poor
1504,8.1,average
1505,5,good
1506,4.6,good
1507,5.1,average
1508,4.9,average
1509,6.9,good
1510,5.3,average
1511,5.5,poor
1512,5.3,average
1513,7.9,average
1514,9.5,poor
1515,5.7,good
1516,5.5,good
1517,4.7,poor
1518,9.9,poor
1519,8.9,average
1520,6.2,average
1521,4.1,poor
1522,7.2,good
1523,5.2,good
1524,4.1,poor
1525,6.4,average
1526,8,average
1527,8.7,average
1528,5.6,poor
1529,6.9,poor
1530,8.4,good
1531,9.9,average
1532,9.5,average
1533,5.9,poor
1534,6.5,good
1535,9.6,average
1536,7.4,average
1537,4.1,poor
1538,8.3,good
1539,6.8,good
1540,8.6,average
1541,9.5,poor
1542,6.2,good
1543,6.8,good
1544,6.6,poor
1545,6.3,poor
1546,6.9,average
1547,7.7,good
1548,4.1,average
1549,9.2,average
1550,9.2,good
1551,5.1,good
1552,4.7,poor
1553,8.2,good
1554,9.7,good
1555,4.9,good
1556,8.9,average
1557,9.7,average
1558,8.9,average
1559,7.3,poor
1560,9.5,poor
1561,4.1,poor
1562,9.2,poor
1563,8.2,average
1564,6.3,average
1565,9.2,good
1566,8.4,poor
1567,8.8,average
1568,5.7,poor
1569,7.5,poor
1570,6.2,good
1571,7.9,good
1572,8.4,poor
1573,7.9,average
1574,9.3,poor
1575,4.8,poor
1576,7.3,average
1577,7.2,good
1578,8.5,poor
1579,6.9,poor
1580,5.5,average
1581,5.5,average
1582,6,average
1583,6.5,poor
1584,8.1,poor
1585,6.5,good
1586,5.3,poor
1587,4.8,good
1588,8.2,poor
1589,4.7,good
1590,5.8,poor
1591,5.3,average
1592,4.5,average
1593,9.3,good
1594,4.4,poor
1595,5.4,average
1596,5,average
1597,9.1,poor
1598,9.4,poor
1599,7.3,average
1600,8.2,good
1601,9.1,average
1602,5.9,good
1603,7.1,poor
1604,4.1,good
1605,5.5,good
1606,7.1,good
1607,6,average
1608,4.9,good
1609,4.6,good
1610,9.1,poor
1611,8.5,poor
1612,8.7,good
1613,8.1,poor
1614,5,average
1615,8.4,poor
1616,7.3,poor
1617,4.1,good
1618,4.3,average
1619,5.3,good
1620,8.7,good
1621,7.6,good
1622,7.6,good
1623,9.9,good
1624,7,average
1625,6.8,poor
1626,6.8,average
1627,5.9,average
1628,5.3,good
